  PID TTY          TIME CMD
    1 ?        00:00:11 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:00 migration/0
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:17 rcu_sched
   10 ?        00:00:00 lru-add-drain
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 watchdog/1
   13 ?        00:00:00 migration/1
   14 ?        00:00:00 ksoftirqd/1
   16 ?        00:00:00 kworker/1:0H
   17 ?        00:00:00 watchdog/2
   18 ?        00:00:00 migration/2
   19 ?        00:00:00 ksoftirqd/2
   21 ?        00:00:00 kworker/2:0H
   22 ?        00:00:00 watchdog/3
   23 ?        00:00:00 migration/3
   24 ?        00:00:00 ksoftirqd/3
   26 ?        00:00:00 kworker/3:0H
   28 ?        00:00:00 kdevtmpfs
   29 ?        00:00:00 netns
   30 ?        00:00:00 khungtaskd
   31 ?        00:00:00 writeback
   32 ?        00:00:00 kintegrityd
   33 ?        00:00:00 bioset
   34 ?        00:00:00 bioset
   35 ?        00:00:00 bioset
   36 ?        00:00:00 kblockd
   38 ?        00:00:00 md
   39 ?        00:00:00 edac-poller
   45 ?        00:00:00 kswapd0
   46 ?        00:00:00 ksmd
   47 ?        00:00:00 khugepaged
   48 ?        00:00:00 crypto
   56 ?        00:00:00 kthrotld
   59 ?        00:00:00 kmpath_rdacd
   60 ?        00:00:00 kaluad
   62 ?        00:00:00 kpsmoused
   64 ?        00:00:00 ipv6_addrconf
   78 ?        00:00:00 deferwq
  109 ?        00:00:00 kauditd
  249 ?        00:00:00 ata_sff
  259 ?        00:00:00 scsi_eh_0
  260 ?        00:00:00 scsi_tmf_0
  261 ?        00:00:00 scsi_eh_1
  262 ?        00:00:00 scsi_tmf_1
  271 ?        00:00:00 i915/signal:0
  272 ?        00:00:00 i915/signal:1
  273 ?        00:00:00 i915/signal:2
  274 ?        00:00:00 i915/signal:4
  291 ?        00:00:00 kworker/2:1H
  294 ?        00:00:00 kworker/1:1H
  295 ?        00:00:02 kworker/0:1H
  298 ?        00:00:00 kworker/3:1H
  303 ?        00:00:00 jbd2/sda1-8
  304 ?        00:00:00 ext4-rsv-conver
  378 ?        00:00:00 systemd-journal
  410 ?        00:00:00 rpciod
  411 ?        00:00:00 xprtiod
  417 ?        00:00:00 systemd-udevd
  543 ?        00:00:00 irq/127-mei_me
  555 ?        00:00:00 kmemstick
  641 ?        00:00:00 kvm-irqfd-clean
  708 ?        00:00:00 jbd2/sda3-8
  709 ?        00:00:00 ext4-rsv-conver
  711 ?        00:00:00 jbd2/sda2-8
  712 ?        00:00:00 ext4-rsv-conver
  756 ?        00:00:00 auditd
  758 ?        00:00:00 audispd
  760 ?        00:00:00 sedispatch
  783 ?        00:00:01 rtkit-daemon
  784 ?        00:00:00 smartd
  788 ?        00:00:02 polkitd
  792 ?        00:00:03 dbus-daemon
  802 ?        00:00:00 chronyd
  818 ?        00:00:00 lsmd
  819 ?        00:00:00 sssd
  823 ?        00:00:00 alsactl
  827 ?        00:00:03 irqbalance
  834 ?        00:00:05 rngd
  841 ?        00:00:01 gpm
  846 ?        00:00:00 NetworkManager
  849 ?        00:00:00 gssproxy
  859 ?        00:00:01 ksmtuned
  871 ?        00:00:00 rpc.gssd
  887 ?        00:00:01 sssd_be
  888 ?        00:00:00 sssd_be
  892 ?        00:00:00 lvmetad
  893 ?        00:00:00 sssd_autofs
  894 ?        00:00:00 sssd_pam
  895 ?        00:00:00 sssd_nss
  933 ?        00:00:00 accounts-daemon
  935 ?        00:00:00 systemd-logind
  955 ?        00:00:00 dhclient
 1300 ?        00:01:58 dockerd-current
 1301 ?        00:00:04 tuned
 1302 ?        00:00:00 sshd
 1305 ?        00:00:00 xinetd
 1306 ?        00:00:02 rsyslogd
 1311 ?        00:00:00 inotify.sh
 1366 ?        00:00:00 nfsiod
